Table Name,Column Name,Data Type,Is Nullable,Column Default,Max Length,Description
product_images,imageData,text,No,,,
product_images,isPrimary,boolean,Yes,false,,
product_images,createdAt,timestamp with time zone,Yes,now(),,
products,id,uuid,No,gen_random_uuid(),,
products,sellerId,uuid,No,,,
products,categoryId,uuid,No,,,
products,locationId,uuid,Yes,,,
products,name,text,No,,,
products,description,text,Yes,,,
products,price,numeric(12,2),No,,,
products,availableStock,text,Yes,,,
products,minimumOrder,text,No,,,
products,deliveryOptions,ARRAY,No,,,
products,paymentTerms,ARRAY,No,,,
products,sellerType,text,Yes,,,
products,sellerName,text,Yes,,,
products,additionalNotes,text,Yes,,,
products,isActive,boolean,Yes,true,,
products,createdAt,timestamp with time zone,Yes,now(),,
products,updatedAt,timestamp with time zone,Yes,now(),,
products,quantity,integer(32),Yes,,,
products,quantityUnit,text,Yes,,,
products,packaging,text,Yes,,,
saved_products,id,uuid,No,gen_random_uuid(),,
saved_products,userId,uuid,No,,,
saved_products,productId,uuid,No,,,
saved_products,savedDate,timestamp with time zone,Yes,now(),,
saved_products,priceWhenSaved,numeric(12,2),Yes,,,
saved_products,alerts,jsonb,Yes,'{"priceAlert": false, "stockAlert": false}',,
saved_products,createdAt,timestamp with time zone,Yes,now(),,
saved_products,updatedAt,timestamp with time zone,Yes,now(),,
seller_custom_delivery_options,id,uuid,No,gen_random_uuid(),,
seller_custom_delivery_options,seller_id,uuid,No,,,
seller_custom_delivery_options,name,text,No,,,
seller_custom_delivery_options,description,text,Yes,,,
seller_custom_delivery_options,is_active,boolean,Yes,true,,
seller_custom_delivery_options,created_at,timestamp with time zone,Yes,now(),,
seller_custom_delivery_options,updated_at,timestamp with time zone,Yes,now(),,
seller_custom_payment_terms,id,uuid,No,gen_random_uuid(),,
seller_custom_payment_terms,seller_id,uuid,No,,,
seller_custom_payment_terms,name,text,No,,,
seller_custom_payment_terms,description,text,Yes,,,
seller_custom_payment_terms,is_active,boolean,Yes,true,,
seller_custom_payment_terms,created_at,timestamp with time zone,Yes,now(),,
seller_custom_payment_terms,updated_at,timestamp with time zone,Yes,now(),,
status_types,id,uuid,No,gen_random_uuid(),,
status_types,name,text,No,,,
user_business,id,uuid,No,gen_random_uuid(),,
user_business,userId,uuid,No,,,
user_business,businessId,uuid,No,,,
user_business,createdAt,timestamp with time zone,Yes,now(),,
user_profiles,id,uuid,No,gen_random_uuid(),,
user_profiles,userId,uuid,No,,,
user_profiles,locationId,uuid,Yes,,,
user_profiles,phone,text,Yes,,,
user_profiles,profileImage,text,Yes,,,
user_profiles,storefrontImage,text,Yes,,,
user_profiles,website,text,Yes,,,
user_profiles,createdAt,timestamp with time zone,Yes,now(),,
user_profiles,updatedAt,timestamp with time zone,Yes,now(),,
user_profiles,specialties,ARRAY,Yes,'{}',,
user_ratings,id,uuid,No,gen_random_uuid(),,
user_ratings,userId,uuid,No,,,
user_ratings,rating,numeric(3,2),Yes,0,,
user_ratings,totalReviews,integer(32),Yes,0,,
user_ratings,responseTime,text,Yes,,,
user_ratings,createdAt,timestamp with time zone,Yes,now(),,
user_ratings,updatedAt,timestamp with time zone,Yes,now(),,
user_social,id,uuid,No,gen_random_uuid(),,
user_social,userId,uuid,No,,,
user_social,facebook,text,Yes,,,
user_social,instagram,text,Yes,,,
user_social,twitter,text,Yes,,,
user_social,linkedin,text,Yes,,,
user_social,telegram,text,Yes,,,
user_social,whatsapp,text,Yes,,,
user_social,tiktok,text,Yes,,,
user_social,website,text,Yes,,,
user_social,createdAt,timestamp with time zone,Yes,now(),,
user_social,updatedAt,timestamp with time zone,Yes,now(),,
user_verification,id,uuid,No,gen_random_uuid(),,
user_verification,userId,uuid,No,,,
user_verification,verified,boolean,Yes,false,,
user_verification,phoneVerified,boolean,Yes,false,,
user_verification,verificationStatus,text,Yes,'not_started',,
user_verification,verificationSubmitted,boolean,Yes,false,,
user_verification,verificationDocuments,jsonb,Yes,,,
user_verification,businessDetailsCompleted,boolean,Yes,false,,
user_verification,createdAt,timestamp with time zone,Yes,now(),,
user_verification,updatedAt,timestamp with time zone,Yes,now(),,
user_verification,rejectedDocuments,jsonb,Yes,,,
users,id,uuid,No,gen_random_uuid(),,
users,email,text,No,,,
users,name,text,No,,,
users,passwordHash,text,No,,,
users,emailVerified,boolean,Yes,false,,
users,createdAt,timestamp with time zone,Yes,now(),,
users,updatedAt,timestamp with time zone,Yes,now(),,
users,userType,character varying(50),No,,50,
users,accountType,character varying(50),No,,50,
users,emailVerificationToken,text,Yes,,,
users,emailVerificationExpires,timestamp with time zone,Yes,,,
users,pendingEmail,text,Yes,,,
verification_codes,id,uuid,No,gen_random_uuid(),,
verification_codes,userId,uuid,No,,,
verification_codes,phone,text,No,,,
verification_codes,code,text,Yes,,,
verification_codes,expiresAt,timestamp with time zone,No,,,
verification_codes,createdAt,timestamp with time zone,Yes,now(),,
verification_codes,verificationId,text,Yes,,,
verification_codes,verified,boolean,Yes,false,,
verification_codes,verifiedAt,timestamp with time zone,Yes,,,
verification_codes,attempts,integer(32),Yes,0,,
verification_requests,id,uuid,No,gen_random_uuid(),,
verification_requests,userId,uuid,No,,,
verification_requests,userEmail,text,No,,,
verification_requests,userName,text,No,,,
verification_requests,userType,text,No,,,
verification_requests,accountType,text,No,,,
verification_requests,businessName,text,Yes,,,
verification_requests,businessDescription,text,Yes,,,
verification_requests,businessLicenseNumber,text,Yes,,,
verification_requests,verificationDocuments,jsonb,Yes,,,
verification_requests,status,text,Yes,'pending',,
verification_requests,submittedAt,timestamp with time zone,Yes,now(),,
verification_requests,reviewedAt,timestamp with time zone,Yes,,,
verification_requests,reviewedBy,uuid,Yes,,,
verification_requests,reviewNotes,text,Yes,,,
verification_requests,requestType,text,Yes,'standard',,
verification_requests,businessInfo,jsonb,Yes,,,
verification_requests,phoneVerified,boolean,Yes,false,,
verification_requests,createdAt,timestamp with time zone,Yes,now(),,
verification_requests,updatedAt,timestamp with time zone,Yes,now(),,
