Table,Field,Type,PK,FK,References,Description
conversations,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
conversations,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
messages,id,uuid,TRUE,FALSE,,Primary key
messages,conversationId,uuid,FALSE,TRUE,conversations.id,Foreign key to conversations
messages,senderId,uuid,FALSE,TRUE,users.id,Foreign key to users (sender)
messages,content,text,FALSE,FALSE,,Message content
messages,messageType,string,FALSE,FALSE,,Message type
messages,isRead,boolean,FALSE,FALSE,,Read status
messages,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
reviews,id,uuid,TRUE,FALSE,,Primary key
reviews,productId,uuid,FALSE,TRUE,products.id,Foreign key to products
reviews,reviewerId,uuid,FALSE,TRUE,users.id,Foreign key to users (reviewer)
reviews,revieweeId,uuid,FALSE,TRUE,users.id,Foreign key to users (reviewee)
reviews,rating,integer,FALSE,FALSE,,Rating (1-5)
reviews,comment,text,FALSE,FALSE,,Review comment
reviews,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
reviews,updatedAt,timestamp,FALSE,FALSE,,Last update timestamp
ratings,id,uuid,TRUE,FALSE,,Primary key
ratings,productId,uuid,FALSE,TRUE,products.id,Foreign key to products
ratings,raterId,uuid,FALSE,TRUE,users.id,Foreign key to users (rater)
ratings,rateeId,uuid,FALSE,TRUE,users.id,Foreign key to users (ratee)
ratings,rating,integer,FALSE,FALSE,,Rating value
ratings,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
locations,id,uuid,TRUE,FALSE,,Primary key
locations,country,string,FALSE,FALSE,,Country name
locations,state,string,FALSE,FALSE,,State/Province
locations,city,string,FALSE,FALSE,,City name
locations,district,string,FALSE,FALSE,,District name
locations,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
delivery_options,id,uuid,TRUE,FALSE,,Primary key
delivery_options,name,string,FALSE,FALSE,,Delivery option name
delivery_options,description,text,FALSE,FALSE,,Delivery option description
delivery_options,isActive,boolean,FALSE,FALSE,,Active status
delivery_options,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
payment_terms,id,uuid,TRUE,FALSE,,Primary key
payment_terms,name,string,FALSE,FALSE,,Payment term name
payment_terms,description,text,FALSE,FALSE,,Payment term description
payment_terms,isActive,boolean,FALSE,FALSE,,Active status
payment_terms,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
status_types,id,uuid,TRUE,FALSE,,Primary key
status_types,name,string,FALSE,FALSE,,Status type name
status_types,description,text,FALSE,FALSE,,Status type description
status_types,isActive,boolean,FALSE,FALSE,,Active status
status_types,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
seller_custom_delivery_options,id,uuid,TRUE,FALSE,,Primary key
seller_custom_delivery_options,sellerId,uuid,FALSE,TRUE,users.id,Foreign key to users (seller)
seller_custom_delivery_options,name,string,FALSE,FALSE,,Custom delivery option name
seller_custom_delivery_options,description,text,FALSE,FALSE,,Custom delivery option description
seller_custom_delivery_options,isActive,boolean,FALSE,FALSE,,Active status
seller_custom_delivery_options,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
seller_custom_payment_terms,id,uuid,TRUE,FALSE,,Primary key
seller_custom_payment_terms,sellerId,uuid,FALSE,TRUE,users.id,Foreign key to users (seller)
seller_custom_payment_terms,name,string,FALSE,FALSE,,Custom payment term name
seller_custom_payment_terms,description,text,FALSE,FALSE,,Custom payment term description
seller_custom_payment_terms,isActive,boolean,FALSE,FALSE,,Active status
seller_custom_payment_terms,createdAt,timestamp,FALSE,FALSE,,Creation timestamp
